,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
237,Finland,2022,24.1,29.4,39.6,51.0,26.3,30.3,19.8,24.1,17.6,18.5,15.6,17.1,14.8,15.2,16.0,18.8,16.2,18.9,13.2,15.2
238,France,2011,9.97,13.84,17.27,19.0,16.89,18.65,12.55,13.0,10.63,11.05,8.76,9.82,10.3,8.61,9.33,10.36,9.57,10.8,8.86,8.98
239,France,2012,10.11,14.32,17.35,19.89,16.35,18.96,12.84,13.77,10.66,10.94,9.03,10.16,8.11,9.39,9.39,10.64,9.94,11.09,9.05,9.23
240,France,2013,11.14,14.21,19.08,21.84,17.55,19.2,13.22,14.51,11.05,11.72,9.45,11.39,8.46,9.19,9.91,10.89,10.3,11.58,9.45,9.87
241,France,2014,10.42,13.41,19.26,22.02,16.83,18.35,13.04,14.45,11.64,12.12,9.68,10.91,8.9,9.09,9.76,11.08,9.85,11.41,9.6,10.01
242,France,2015,10.93,13.11,18.86,21.36,17.25,18.48,13.2,14.15,11.39,13.01,9.66,11.36,8.6,9.05,9.51,11.07,10.67,11.04,9.43,10.11
243,France,2016,10.46,13.13,18.89,21.34,17.35,18.41,12.94,13.81,11.19,12.39,9.61,11.13,7.88,9.24,10.14,11.02,10.47,11.38,9.32,9.66
244,France,2017,11.08,13.08,18.92,22.5,17.38,18.9,12.94,14.37,11.27,12.06,9.45,11.05,8.62,9.16,11.33,10.98,10.03,11.41,9.39,10.08
245,France,2018,13.91,13.26,20.42,22.52,18.05,19.24,13.43,14.49,11.69,12.56,9.71,11.16,9.01,9.49,10.23,11.63,10.73,11.54,9.54,10.6
246,France,2019,15.67,14.85,20.07,23.24,17.67,20.64,13.62,15.17,11.92,12.26,10.11,11.88,9.16,9.81,10.26,11.61,10.3,11.87,10.0,10.79
247,France,2020,13.74,16.8,22.19,23.99,18.03,21.56,14.54,16.0,12.45,13.69,10.79,11.87,11.49,9.73,10.42,12.1,10.54,12.18,10.42,10.87
268,Guinea,2019,17066.38,12005.66,10547.19,35791.29,15541.77,17368.15,9565.71,14158.5,9527.56,14659.13,5321.54,7482.02,2420.87,10136.56,5382.26,10992.45,46621.11,11351.03,4155.29,7074.25
269,Guyana,2018,404.26,397.77,682.87,875.54,624.42,834.06,457.34,543.79,455.62,440.44,324.28,330.35,330.02,362.26,389.29,487.13,422.82,474.37,347.49,392.66
270,Guyana,2019,440.47,459.2,674.7,785.48,634.06,711.18,510.27,572.0,505.69,453.64,337.67,373.26,325.39,331.16,422.28,476.67,403.47,486.01,370.35,400.03
287,Hungary,2018,2851.0,2717.0,2950.0,3971.0,2150.0,2954.0,1655.0,2089.0,1522.0,1855.0,1184.0,1234.0,1167.0,1161.0,1262.0,1533.0,1263.0,1426.0,963.0,1065.0
288,Hungary,2019,3753.85,2937.84,3460.56,4591.94,2430.01,3503.01,1983.56,2607.55,1831.58,2034.17,1498.94,1822.5,1284.9,1474.81,1406.71,1891.75,1669.9,1885.39,1030.65,1200.67
289,Hungary,2020,3256.0,3371.0,3963.0,5297.0,2766.0,4005.0,2272.0,2918.0,2064.0,2315.0,1670.0,2079.0,1501.0,1648.0,1545.0,2118.0,1830.0,2055.0,1150.0,1317.0
290,Hungary,2021,3626.0,3635.0,4483.0,5992.0,3258.0,4712.0,2571.0,3306.0,2309.0,2618.0,1833.0,2258.0,1608.0,1819.0,1721.0,2383.0,1997.0,2296.0,1305.0,1528.0
291,Hungary,2022,5749.0,5759.0,5088.0,6976.0,3669.0,5433.0,2962.0,3807.0,2668.0,3044.0,2217.0,2879.0,1911.0,2124.0,1986.0,2745.0,2378.0,2669.0,1564.0,1799.0
300,Indonesia,2017,26932.86,27583.82,38759.06,44413.99,19905.78,27172.71,20678.94,25118.24,17491.84,20037.25,8680.89,11332.13,6839.49,9414.25,8121.37,10841.44,12900.24,14073.74,7012.67,9601.33
301,Indonesia,2019,33502.89,29696.85,37805.99,45882.22,19576.37,26865.79,20986.44,25638.03,17655.04,19945.32,9755.69,12656.6,7943.04,10466.67,9138.55,12277.29,14060.35,15670.34,7986.4,10875.18
302,Indonesia,2020,31001.95,29631.51,36981.16,45101.36,23754.44,31219.41,21831.55,26715.89,19896.92,21695.19,10152.94,12955.02,7984.54,11068.23,9649.96,12657.52,14604.95,16602.14,8260.04,11178.13
303,Indonesia,2021,28498.75,30220.61,46646.18,48005.81,28233.82,37201.17,24802.87,26434.8,21034.64,23374.62,10647.93,13198.3,8233.28,11097.95,10252.79,12801.97,15478.8,16333.82,8253.29,11218.99
304,Indonesia,2022,27090.44,31264.13,52167.35,44905.84,20372.42,30684.34,25253.78,29282.95,20048.11,22632.02,10145.81,13602.3,8382.92,12018.41,10150.04,13556.5,15909.38,16929.67,8721.26,11920.07
305,Indonesia,2023,31539.49,29973.48,33080.91,45252.68,20244.78,28972.63,24007.85,28509.75,19942.62,22070.52,10814.15,13940.77,9474.61,12896.03,10914.76,14333.83,16238.24,17533.22,9166.72,12465.28
306,Iraq,2021,3334.0,2913.0,9285.0,8432.0,5911.0,5323.0,4089.0,3450.0,3564.0,3649.0,3479.0,2722.0,3064.0,2136.0,2649.0,1833.0,0.0,2607.0,2802.0,1850.0
314,Italy,2014,8.61,10.75,13.73,14.46,14.32,13.87,9.69,10.53,9.05,9.47,7.25,7.82,7.7,7.4,7.29,8.02,7.87,8.61,7.53,7.31
315,Italy,2015,9.08,11.2,14.95,14.14,15.12,13.89,10.05,10.44,9.07,9.24,7.47,7.99,7.35,7.25,7.65,8.25,7.75,8.56,7.69,7.44
316,Italy,2016,8.03,10.92,17.2,14.22,14.84,13.95,10.11,10.26,9.07,9.11,7.29,7.73,7.97,7.3,7.49,7.99,7.6,8.53,7.52,7.61
317,Italy,2017,9.93,11.08,14.84,14.34,14.57,13.7,10.09,10.24,9.13,9.49,7.56,7.92,7.67,7.14,7.24,8.18,7.65,8.53,7.7,7.57
318,Italy,2018,9.32,11.44,13.05,13.77,14.46,13.75,9.98,10.4,9.29,9.41,7.47,7.91,9.36,7.25,7.66,8.31,7.5,8.55,7.7,7.28
319,Italy,2019,9.88,13.52,13.29,13.81,15.0,13.39,10.17,10.58,9.31,9.54,7.55,8.01,7.55,7.72,8.19,8.61,7.97,8.91,7.55,7.72
